OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipperID,Freight,ShipAddress
10032,C004,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市4（数据上报地）
10033,C005,4,2019-12-31,2020-06-30,2020-03-15,2,0,地区A 工业园 2（数据上报地）
10034,C005,4,2020-12-31,2021-06-30,2021-03-15,2,0,地区A 工业园 2（数据上报地）
10035,C005,4,2021-12-31,2022-06-30,2022-03-15,2,0,地区A 工业园 2（数据上报地）
10036,C005,4,2022-12-31,2023-06-30,2023-03-15,2,0,地区A 工业园 2（数据上报地）
10037,C005,4,2023-12-31,2024-06-30,2024-03-15,2,0,地区A 工业园 2（数据上报地）
10038,C005,4,2024-12-31,2025-06-30,2025-03-15,2,0,地区A 工业园 2（数据上报地）
10039,C005,4,2025-12-31,2026-06-30,2026-03-15,2,0,地区A 工业园 2（数据上报地）
10040,C005,4,2026-12-31,2027-06-30,2027-03-15,2,0,地区A 工业园 2（数据上报地）
10041,C006,4,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市6（数据上报地）
10042,C006,4,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市6（数据上报地）
10043,C006,4,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市6（数据上报地）
10044,C006,4,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市6（数据上报地）
10045,C006,4,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市6（数据上报地）
10046,C006,4,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市6（数据上报地）
10047,C006,4,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市6（数据上报地）
10048,C006,4,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市6（数据上报地）
10049,C007,4,2019-12-31,2020-06-30,2020-03-15,2,0,地区A 城市1（数据上报地）
10050,C007,4,2020-12-31,2021-06-30,2021-03-15,2,0,地区A 城市1（数据上报地）
10051,C007,4,2021-12-31,2022-06-30,2022-03-15,2,0,地区A 城市1（数据上报地）
10052,C007,4,2022-12-31,2023-06-30,2023-03-15,2,0,地区A 城市1（数据上报地）
10053,C007,4,2023-12-31,2024-06-30,2024-03-15,2,0,地区A 城市1（数据上报地）
10054,C007,4,2024-12-31,2025-06-30,2025-03-15,2,0,地区A 城市1（数据上报地）
10055,C007,4,2025-12-31,2026-06-30,2026-03-15,2,0,地区A 城市1（数据上报地）
10056,C007,4,2026-12-31,2027-06-30,2027-03-15,2,0,地区A 城市1（数据上报地）
10057,C008,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 工业园 3（数据上报地）
10058,C008,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 工业园 3（数据上报地）
10059,C008,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 工业园 3（数据上报地）
10060,C008,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 工业园 3（数据上报地）
10061,C008,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 工业园 3（数据上报地）
10062,C008,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 工业园 3（数据上报地）
10063,C008,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 工业园 3（数据上报地）
10064,C008,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 工业园 3（数据上报地）
10065,C009,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市3（数据上报地）
10066,C009,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市3（数据上报地）
10067,C009,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市3（数据上报地）
10068,C009,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市3（数据上报地）
10069,C009,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市3（数据上报地）
10070,C009,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市3（数据上报地）
10071,C009,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市3（数据上报地）
10072,C009,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市3（数据上报地）
10073,C010,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市1（数据上报地）
10074,C010,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市1（数据上报地）
10075,C010,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市1（数据上报地）
10076,C010,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市1（数据上报地）
10077,C010,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市1（数据上报地）
10078,C010,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市1（数据上报地）
10079,C010,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市1（数据上报地）
10080,C010,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市1（数据上报地）
10081,C011,1,2019-12-31,2020-06-30,2020-03-15,2,0,地区A 城市1（数据上报地）
10082,C011,1,2020-12-31,2021-06-30,2021-03-15,2,0,地区A 城市1（数据上报地）
10083,C011,1,2021-12-31,2022-06-30,2022-03-15,2,0,地区A 城市1（数据上报地）
10084,C011,1,2022-12-31,2023-06-30,2023-03-15,2,0,地区A 城市1（数据上报地）
10085,C011,1,2023-12-31,2024-06-30,2024-03-15,2,0,地区A 城市1（数据上报地）
10086,C011,1,2024-12-31,2025-06-30,2025-03-15,2,0,地区A 城市1（数据上报地）
10087,C011,1,2025-12-31,2026-06-30,2026-03-15,2,0,地区A 城市1（数据上报地）
10088,C011,1,2026-12-31,2027-06-30,2027-03-15,2,0,地区A 城市1（数据上报地）
10089,C021,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市7（数据上报地）
10090,C021,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市7（数据上报地）
10091,C021,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市7（数据上报地）
10092,C021,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市7（数据上报地）
10093,C021,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市7（数据上报地）
10094,C021,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市7（数据上报地）
10095,C021,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市7（数据上报地）
10096,C021,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市7（数据上报地）
10097,C022,5,2019-12-31,2020-06-30,2020-03-15,4,0,地区A 城市5（数据上报地）
10098,C022,5,2020-12-31,2021-06-30,2021-03-15,4,0,地区A 城市5（数据上报地）
10099,C022,5,2021-12-31,2022-06-30,2022-03-15,4,0,地区A 城市5（数据上报地）
10100,C022,5,2022-12-31,2023-06-30,2023-03-15,4,0,地区A 城市5（数据上报地）
10101,C022,5,2023-12-31,2024-06-30,2024-03-15,4,0,地区A 城市5（数据上报地）
10102,C022,5,2024-12-31,2025-06-30,2025-03-15,4,0,地区A 城市5（数据上报地）
10103,C022,5,2025-12-31,2026-06-30,2026-03-15,4,0,地区A 城市5（数据上报地）
10104,C022,5,2026-12-31,2027-06-30,2027-03-15,4,0,地区A 城市5（数据上报地）
10105,C023,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市1（数据上报地）
10106,C023,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市1（数据上报地）
10107,C023,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市1（数据上报地）
10108,C023,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市1（数据上报地）
10109,C023,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市1（数据上报地）
10110,C023,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市1（数据上报地）
10111,C023,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市1（数据上报地）
10112,C023,5,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市1（数据上报地）
